NO,NIM,Nama,Tempat dan tanggal lahir,Jenis kelamin,No. telp,E-mail,Alamat,Status pekerjaan,Program studi,Kelas,ips semester 1,ips semester 2,ips semester 3,ips semester 4,SKS semester 1,SKS semester 2,SKS semester 3,SKS semester 4,matkul semester 1,matkul semester 2,matkul semester 3,matkul semester 4,Status pembayaran,kelulusan
1,6776324414,Jesse Aguilar,"Surabaya, 1999-07-23",Perempuan,08761-341-5329,smithtammy@hotmail.com,"Jalan Soedirman 072, Apartemen Anggrek 845, Kelurahan Bunga Melati, Surabaya 60123",Bekerja,Sistem Informasi,Reguler Malam,0,3.37,0,2.64,4,5,4,5,2,1,3,1,Belum melunasi 4 semester,Tidak Lulus
2,1694185468,Scott Rodriguez,"Mojokerto, 1999-03-07",Perempuan,0889-096-5518,qtucker@gmail.com,"Jalan Sjahrir 6380, Ruko Puspa Ramp, Kelurahan Bambu Runcing, Jakarta 12120",Bekerja,Sistem Informasi,Reguler Malam,3.61,0,3.17,0,3,4,3,4,1,2,3,1,Belum melunasi 3 semester,Tidak Lulus
3,2821575563,Joseph Richardson,"Bandung, 2000-02-18",Laki-laki,0846-762-7634,ddelgado@gmail.com,"Jalan Kartini 463, Suite Mawar 011, Desa Semangka, Yogyakarta 55212",Bekerja,Sistem Informasi,Reguler Pagi,1,0,0,3.14,4,5,4,5,1,1,3,3,Belum melunasi 3 semester,Tidak Lulus
4,2120785063,Christopher Thomas,"Semarang, 1999-01-10",Perempuan,08349-400-3451,josephjohnson@hill.com,"Jalan Diponegoro 5513, Suite 372, Kota Kenanga, Semarang 50235",Tidak Bekerja,Sistem Informasi,Reguler Malam,2.84,0,2.58,0,3,4,3,4,3,1,3,1,Belum melunasi 3 semester,Tidak Lulus
5,8629949655,Aaron Rollins,"Bali, 2001-03-03",Perempuan,08526-752-5427,erin38@yahoo.com,"USCGC Hatta, Kantor Pahlawan FPO AP 56231",Tidak Bekerja,Sistem Informasi,Reguler Pagi,0,2.59,0,3.74,4,5,4,5,3,1,1,3,Belum melunasi 3 semester,Tidak Lulus
6,7342467850,Gary Mendez,"Jogja, 2000-04-30",Laki-laki,08647-220-0794,ierickson@hotmail.com,"Unit 9574, Kotak Pos 4910, DPO Bung Karno 13293",Tidak Bekerja,Sistem Informasi,Reguler Pagi,0,0,3.14,0,4,5,4,5,1,2,3,1,Belum melunasi 2 semester,Tidak Lulus
7,3525957558,David Wood,"Solo, 1999-07-04",Laki-laki,08765-780-3490,xgallegos@yahoo.com,"Jalan Trunojoyo 8045, Gunung Cendana, Kelurahan Seroja, Mojokerto 61311",Bekerja,Sistem Informasi,Reguler Malam,2.93,3.06,3.9,3.81,22,18,20,22,7,8,8,8,Tidak ada tunggakan,Lulus
8,3247807491,Jaime Berry,"Jember, 1999-01-11",Laki-laki,08967-332-0185,lbrown@miller.com,"Jalan Sutasoma 1404, Apartemen Cempaka 975, Batu, Malang 65155",Bekerja,Sistem Informasi,Reguler Malam,2.97,2.88,3.83,2.8,20,21,19,22,6,8,9,8,Tidak ada tunggakan,Lulus
9,2624066656,Cynthia Richardson,"Sidoarjo, 2000-12-19",Laki-laki,08805-756-2552,deleoncarl@hensley.com,"Pulau Siliwangi 49964, Kelurahan Durian, Bandung 40112",Tidak Bekerja,Sistem Informasi,Reguler Pagi,3.47,3.51,3.35,2.85,19,21,22,21,8,7,9,8,Tidak ada tunggakan,Lulus
10,1438019179,Jeffrey Simmons,"Jakarta, 1999-08-15",Perempuan,08187-914-4631,emilygoodman@avila-hill.com,"Jalan Ki Hajar Dewantara 8111, Apartemen 439, Kelurahan Cemara, Medan 20122",Tidak Bekerja,Sistem Informasi,Reguler Pagi,3.8,3.37,3.9,3,21,18,22,21,8,9,7,8,Tidak ada tunggakan,Lulus
11,3700972240,Patricia Ruiz,"Bogor, 2001-12-22",Perempuan,08927-342-1993,mcherry@hotmail.com,"Perumahan Soekarno Hatta 29096, Kelurahan Tanjung, Makassar 90234",Tidak Bekerja,Sistem Informasi,Reguler Pagi,3.96,3.69,3.33,3.58,22,19,20,21,7,9,8,8,Tidak ada tunggakan,Lulus
12,4621172966,Kurt Campos,"Tangerang, 2000-04-20",Laki-laki,08184-823-0363,williamskaren@yahoo.com,"Jalan Merah Putih 79210, Rumah Mews, Kota Pahlawan, Surabaya 60115",Bekerja,Sistem Informasi,Reguler Pagi,2.87,3.07,3.73,3.8,18,22,20,22,8,7,8,9,Tidak ada tunggakan,Lulus
13,7251295359,Mary Davis,"Banten, 2000-11-23",Perempuan,08253-234-3085,hernandezlindsey@yahoo.com,"Jalan Yani 8523, Gang Suplir, Kota Sidoarjo 61234",Tidak Bekerja,Sistem Informasi,Reguler Malam,3.59,3.22,3.69,2.8,18,23,20,21,8,8,8,9,Tidak ada tunggakan,Lulus
14,1211848632,Debra Benjamin,"Bekasi, 1999-04-17",Perempuan,08758-660-3622,wjohnson@yahoo.com,"Jalan Mangga 5191, Apartemen Jeruk 947, Kelurahan Rawa, Bekasi 17131",Bekerja,Sistem Informasi,Reguler Malam,3.92,3.04,3.86,3.37,19,21,22,20,7,7,9,8,Tidak ada tunggakan,Lulus
15,3255577310,Holly Nguyen,"Tegal, 2000-07-28",Perempuan,08346-059-4802,stevenfrost@leach.org,"Jalan Budi Utomo 556, Suite 112, Kota Alam, Bogor 16112",Tidak Bekerja,Sistem Informasi,Reguler Pagi,3.8,3.37,3.9,3,21,18,22,21,7,9,8,7,Tidak ada tunggakan,Lulus
16,1591714475,Nicholas Craig,"Cilacap, 1999-04-21",Perempuan,08853-492-8702,hhancock@dillon-armstrong.org,"Jalan Oemar 151, Kelurahan Kopi, Cirebon 45122",Bekerja,Sistem Informasi,Reguler Malam,2.71,3.86,2.97,3.49,22,21,20,19,7,8,8,8,Tidak ada tunggakan,Lulus
17,6881704001,Gary Collier,"Surabaya, 2000-03-17",Perempuan,08163-865-6217,emma87@yahoo.com,"Jalan Medina 581, Apartemen Serut 516, Depok, Jawa Barat 16413",Bekerja,Sistem Informasi,Reguler Pagi,2.93,3.06,3.9,3.81,22,18,22,20,8,8,8,8,Tidak ada tunggakan,Lulus
